ID,Country,Year,Outbreak,Region,S1,S2,S3,S4,,Status,Area_affected,Context,Context2,Detection_mode,Alert,Alert_bin,Detection_detail,Delay_symp_pres,Delay_symp_det,Delay_pres_det,Delay_symp_inv,Delay_pres_inv,Delay_symp_resp,Delay_pres_resp,Delay_symp_conf,Date_onset,Date_clinic,Date_labsignal,Date_detected,Detect_detail,Date_onset_eff,Date_pres_eff,Date_decl,Date_conf,Date_inv,Date_resp,Resp_detail,
44,Nepal,2017,"Nepal, 2017",SEARO,"Yadav et al, 2017",,,,,New,"Gaidataar, Chandranigahpur VDC- 3 and 4 (now Chandrapur Municipality-3), Rautahat",Urban,Fragile situation,Formal data analysis,Data analysis,0,"Using EWARS, AWD increase detected on 16 Apr 2017; on same evening, two diarrhea cases admitted to hospital. The next day an RRT went to investigate and control.",5,5,0,6,1,6,1,,,4/16/2017,,4/16/2017,1_EWARS (exact date),4/11/2017,4/16/2017,NR,,4/17/2017,4/17/2017,"RRT Medical Doctor, a paramedic, a nursing staff, two peons, a lab technician) with ORS, all the essential medicines and IV fluids were sent to the area. A temporary diarrheal management camp was set up in the affected area with the help of local inhabitants. OCV launched mid-August 2017.",
45,Niger,2016,"Niger, 2016",AFRO,"UNICEF CP (W40, 2016)","UNICEF CP (W42, 2016)",,,,New,"Bella village, Dosso Health District",Rural,Armed conflict,Informal alert,Alert,1,"Dosso Health District received a rumor of gastroenteritisi on Oct 20 from one village; included 6 comm deaths and 3 health facility deaths and 23 cases (24 oct); by nov 7, 34 suspected cases and 9 deaths.",5,5,0,11,6,,,,,,,10/20/2016,2_community (exact date),10/15/2016,10/20/2016,NR,,10/26/2016,,"A joint team from the Ministry of Health Niamey, Dosso, WHO and UNICEF was sent on October 26 to monitor the situation and needs.",
46,Niger,2018,"Niger, 2018",AFRO,"WHO OEB (W21, 2018)","WHO OEB (W29, 2018)",,,,New,"Madarounfa, Maradi District (border Nigeria)",Urban,Armed conflict,Informal alert,Alert,1,"Family of cases admitted to Nyelwa Integrated health Centre on 5 July 2018; 7 Jul health centre notified district and 1 case died. case-patients developed onset of symptoms in the village of Makada in Jibiya Local Government Area in Nigeria, prior to seeking dmission at the health centre in Niger",5,7,2,7,2,,,12,,7/5/2018,,7/7/2018,1_HF (exact date),6/30/2018,7/5/2018,7/15/2018,7/12/2018,7/7/2018,,RRT dispatched on same day as alert,
47,Nigeria,2014,"Nigeria, 2014",AFRO,"Dan-Nwafor et al, 2019",,,,,New,"Gomani settlement, Kundu ward of Kwali LGA, Federal Capital Territory (near Abuja)",Rural,Armed conflict,Formal alert,Alert,1,"On Nov 8, 2014, the head of the Primary Health Care Department through the Disease Surveillance and Notification Officer (DSNO) reported an increase in  the number of reported cases of vomiting and diarrhea in Gomani village, Kwali Area Council, Federal Capital Territory, Abuja (informal notification)",13,13,0,13,0,13,0,,10/24/2014,,,11/6/2014,1_HF (exact date),10/24/2014,11/6/2014,11/8/2014,,11/6/2014,11/6/2014,An outbreak response team was immediately mobilized and deployed to Gomani settlement (Nov 8); The response was initiated on 6th of the November 2014 when the national authorities were notified of the outbreak. ,
48,Nigeria,2017,"Nigeria, 2017",AFRO,"Ngwa et al, 2020",Nigeria FETP investigation,"WHO OEB (W36, 2017)",,,New,"Muna Garage IDP camp, Jere LGA, Borno State",Camp,Armed conflict,Formal alert,Alert,1,"Three surveillance systems were used in communicating the outbreak at various levels. These were the EWARS, IDSR, and phone platform (alerts by mobile phones). At state level, the phone platform reported the index case. On August 16th, 2017, we got a call from MSF telling us about a case of acute watery diarrhea,
which prompted an immediate visit to their facility in Gwange (WHO official). At the national level, the outbreak was reported through IDSR and EWARS. There was a delay in laboratory confirmation as the sample was sent on Aug 16 to the U of Maiduguri Teaching Hospital and was declared negative as they lacked capacity and reagents (false negative). By Aug 26, Lagos reference laboratory declared the stool sample positive. This delayed a comprehensive response. ",2,2,0,2,0,9,7,12,8/14/2017,8/16/2017,,8/16/2017,1_HF_EWARS (exact date),8/14/2017,8/16/2017,8/28/2017,8/26/2017,8/16/2017,8/23/2017,"Comprehensive and integrated response between partners was considered delayed until date of declaration on Aug 28. Nigeria CDC investigated on Sept 4. OCV campaign on W38. of 8 September, the Borno State Ministry of Health and partners have established seven treatment sites.",
49,Nigeria,2018,"Nigeria, 2018",AFRO,"WHO OEB (W11, 2018)",,,,,New,"Doro Ward, Kukawa LGA, Borno",Urban,Armed conflict,Informal alert,Alert,1,"Initial cases emerged of AWD in Doro ward, 13 feb 2018 (immediate notification).",5,5,0,13,8,14,9,5,,2/13/2018,2/13/2018,2/13/2018,"1_Laboratory (exact date; local lab, so quick)",2/8/2018,2/13/2018,3/8/2018,2/13/2018,2/21/2018,2/22/2018,"21 Feb 2018, the state rapid response team (RRT) was deployed to support the response activities in Kukawa LGA. At the LGA level, a daily multi-sectoral coordination meeting has been held since 22 February 2018",
50,Pakistan,2010,"Pakistan, 2010",EMRO,"WHO DON, 25 Oct 2010","DEC report, 26 Oct 2010","EMRO WEM (3, 43, 2010)",,,New,"Mingora, Swat Valley. Wide geographical area in the flood-affected provinces of Sindh, Punjab and Khyber Pakhtunkhwa.",Urban,Natural disaster,Formal data analysis,Data analysis,0,"One case of cholera was confirmed in Mingora, the main town in the northwest's Swat Valley. Other cases were suspected, and aid workers are now responding to all those exhibiting acute watery diarrhea as if it is cholera, Giuliano said. The WHO DON states that These cases were laboratory-confirmed by the National Institute of Health since the beginning of the flood until 30 September 2010 (therefore, we estimate the first reported cases were from 30 Jul 2010)",5,5,0,,,5,0,5,,,9/30/2010,8/14/2010,"1_NR (exact date; lab confirmation reported by UN on Aug 14, 2010)",8/9/2010,8/14/2010,10/12/2010,8/14/2010,,8/14/2010,NR,
51,Pakistan,2017,"Pakistan, 2017",EMRO,"Akram, 2017",,,,,New,"Amarpura, Rawalpindi",Urban,Fragile situation,Formal alert,Alert,1,"On July 24, 2017, Field Epidemiology & Disease Surveillance Division (FEDSD), National Institute of Health Islamabad (NIH) informed Federal Disease Surveillance and Response Unit (FDSRU) about a laboratory confirmed stool sample for acute watery diarrhea (AWD). The case was already admitted in Pediatric Isolation ward in Benazir Bhutto Hospital, Rawalpindi. (immediate notification). No cases reported after July 28, 2017.",0,0,0,3,3,,,0,7/24/2017,7/24/2017,,7/24/2017,1_HF (exact date),7/24/2017,7/24/2017,7/24/2017,7/24/2017,7/27/2017,,Water disinfection medicine for treatment of water tanks of houses were distributed in the area while cleaning and chlorination of municipal water tanks were carried out. The suspected cases were taken to hospital for proper health care. Follow up visits were conducted to identify any new case of AWD and to monitor the effectiveness of control measures.,
52,PNG,2009,"PNG, 2009",WPRO,"Rosewell et al, 2009","Rosewell thesis, 2013","IFRC DREF, 7 Sept 2009",,,New,"Nambariwa and spread to neighboring Lambutina, Morobe province",Rural,Fragile situation,Informal alert,Alert,1,A physician visiting family reported an outbreak of AWD associated with death of his father and 4 persons from two villages.,6,15,9,22,16,22,16,,7/22/2009,7/28/2009,,8/6/2009,2_community (exact date),7/22/2009,7/28/2009,NR,,8/13/2009,8/13/2009,"From August 13, multidisciplinary teams worked with the community to reduce the number of deaths through early identifi cation and treatment of case-patients. The teams also worked to limit transmission through improvements to the water and sanitation infrastructure and by encouraging better hygiene practices among the villagers.",
53,Sierra Leone,2012,"Sierra Leone, 2012",AFRO,"Dunoyer et al, 2013","WHO DONS, 7 Sept 2012",,,,New,"Island of Yeliboya, Kambia",Rural,Fragile situation,Formal alert,Alert,1,"14 January 2012, Kambia notified of an increase in D&V in the Island of Yeliboya by Head Physician notified the central DC office [signal, source]. Samples were taken during the investigation, but took a month to get confirmation (from Burkina Faso)",5,5,0,8,3,8,3,38,,,,1/13/2012,1_NR (exact date),1/8/2012,1/13/2012,2/17/2012,2/15/2012,1/16/2012,1/16/2012,"Investigation: Two days after notification, a team of surveillance and cooridnator of WASH investigated the transmission on site. They confirmed clinically that this was cholera.",
54,Somalia,2008,"Somalia, 2008",AFRO,"EMRO WEM (1, 10, 2008)",,,,,New,"Luuq and Belet Xawa, Gedo Region",Urban,Armed conflict,Not reported,,,The outbreak in Gedo region unfolded over 12 weeks period but remained undetected causing relatively high mortality and morbidity. Stool specimens sent to KEMRI laboratory in Kenya in November 2007 and January 2008 tested positive for V. cholerae serotype Inaba.,5,5,0,66,61,,,66,,,,11/15/2007,4_NR (midpoint of Nov 2007),11/10/2007,11/15/2007,NR,1/15/2008,1/15/2008,,Use DoC as investigation date.,
55,Somalia,2016,"Somalia, 2016",AFRO,"UNICEF/OCHA investigation, 12 Jun 2015",,,,,New,Belet Xaawo (Belet Hawa),Urban,Armed conflict,Formal alert,Alert,1,"2nd May 2016, District Hospital alarmed to the other health facilities to be aware of the possibilities of AWD increase in the area as the Hospital admitted the first patient with signs of AWD/Cholera.",5,5,0,,,14,9,,,5/2/2016,,5/2/2016,1_HF (exact date),4/27/2016,5/2/2016,NR,,,5/11/2016,"On the 2nd week of May, Life Line Gedo ( LLG) with funding support from Concern World Wide have distributed 3,000 hygiene kits to benefit 3000 households in 10 villages of Belet Xaawo district to prevent further AWD outbreak on these village",
56,Somalia,2018,"Somalia, 2018",AFRO,"MoH sitrep W50, 2017","EMRO WEM (11, 6, 2018)",,,,New,Beletweyne district of the Hiran region in December 2017,Urban,Armed conflict,Formal data analysis,Data analysis,0,AWD/Cholera alerts were received from Hiraan in the EWARN system and were confirmed as true alerts for cholera,5,5,0,7,2,19,14,,,,,12/6/2017,"3_NR (midpoint of epiweek 49, 2017)",12/1/2017,12/6/2017,NR,,12/8/2017,12/20/2017,"CTC opened, CHWs trained for CCM of cholera",
57,South Sudan,2008,"South Sudan, 2008",AFRO,"IFRC DREF, 21 Aug 2008","Prospective Cooperation report, 2018","Medair report, 25 Apr 2008","EMRO WEM (1, 22/23, 2008)",,New,Yei town,Rural,Armed conflict,Not reported,,,A young woman returning from Uganda refugee camp was the index case.,5,29,24,34,29,34,29,74,,3/12/2008,,4/5/2008,4_NGO (date of request for assistance),3/7/2008,3/12/2008,NR,5/20/2008,4/10/2008,4/10/2008,"A multi-sectoral team from MoH and Medair will be visiting the site on 12/03/08 to obtain more information and potentially respond. UPDATED: On 10 April 2008, a two-person Medair Health Services Emergency Response Team (ERT) began working actively in Yei and surrounding villages, after receiving a request for assistance from another NGO.",
58,South Sudan,2014,"South Sudan, 2014",AFRO,"WHO-MOH sitrep 1, 15 May 2014","Abubakar et al, 2018","WHO DON, 20 May 2014",,,New,Juba 3 IDP camp; Gudelle 2,Camp,Armed conflict,Formal alert,Alert,1,"29 April 2014, the MSF clinic in Juba 3 UN House IDP camp notified WHO of a suspect cholera case involving a 28 year-old male who left his household in
Juba 3 IDP camp on 28 April, 2013 at around 11a.m to visit his relatives in Gudelle 2.",6,6,0,6,0,22,16,13,4/23/2014,4/29/2014,,4/29/2014,"1_NR (date cholera case reporting began, with case investigation, EWARS)",4/23/2014,4/29/2014,5/15/2014,5/6/2014,4/29/2014,5/15/2014,"He slept in Gudelle with his relatives and was brought to MSF clinic in Juba 3
IDP camp on the 29 April 2014 by his brother in a hired private car. His stool
samples were shipped to AMREF, Nairobi where Vibrio cholerae inaba was
isolated.
Epidemiological investigations showed that the case received one dose of oral
cholera vaccine (OCV) on 11 March 2014.",
59,South Sudan,2015,"South Sudan, 2015",AFRO,"WHO-MOH sitrep 1, 22 Jun 2015","Prospective Cooperation report, 2018",,,,New,50 villages in seven Payams of Juba County,Urban,Armed conflict,Formal alert,Alert,1,Initial and isolated cases were reported from UN House PoC starting 26 May 2015.,8,8,0,9,1,9,1,16,5/18/2015,5/26/2015,,5/26/2015,"1_NR (date cholera case reporting began with single , EWARS",5/18/2015,5/26/2015,6/23/2015,6/3/2015,5/27/2015,5/27/2015,"However, following epidemiological investigations on 27 May 2015, cases could be traced back to 18 May
2015.",
60,South Sudan,2016,"South Sudan, 2016",AFRO,"Prospective Cooperation report, 2018","WHO-MOH sitrep (W26, 2016)",,,,New,Juba (suspect cases have been reported from 11 villages in 6 payams in Juba),Urban,Armed conflict,Formal alert,Alert,1,"Four suspect cholera cases were reported from Kondokoro Island (2 cases) and Kator (Lologo [1 case]; and Hai Tokyo [1 case]). Two cases (one from Hai Tokyo and the other from Gondokoro Islands), were RDT positive for cholera. Samples were collected for culturing. Cases first observed in host community, then among IDPs.",0,0,0,15,15,15,15,,6/18/2016,6/18/2016,,6/18/2016,"1_NR (date of initial case reported, EWARS)",6/18/2016,6/18/2016,7/3/2016,,7/3/2016,7/3/2016,"In response to these cases; epidemiological investigations and preventive interventions were undertaken by a joint surveillance, social mobilization, and WASH team.",
61,South Sudan,2017,"South Sudan, 2017",AFRO,"Nsubuga et al, 2019",,,,,New,"Tonj East and Tonj North Counties, Warrap State",Rural,Armed conflict,Formal alert,Alert,1,"On 18th-May-2017, former Warrap State Ministry of Health received a report from Tonj East County of an outbreak of acute watery diarrhoea and vomiting in Makuac payam.",11,11,0,12,1,15,4,,5/6/2017,5/17/2017,,5/17/2017,1_PHO (exact date),5/6/2017,5/17/2017,NR,,5/18/2017,5/21/2017,WHO response,
62,Sudan,2019,"Sudan, 2019",AFRO,"Health Cluster report, Dec 2019","WHO DON, 15 Oct 2019","Sudan National Plan, 2019","EMRO WEM (12, 44, 2019)",,New,"Ganees Shareg area of El Roseires locality, Blue Nile State",Urban,Armed conflict,Formal alert,Alert,1,"September 2019, Blue Nile State Ministry of Health (SMoH) reported five suspected cholera cases from El Roseires hospital (immediate notification).",5,5,0,,,5,0,11,8/28/2019,9/2/2019,,9/2/2019,1_PHO (exact date),8/28/2019,9/2/2019,9/8/2019,9/8/2019,,9/2/2019,"The response started as early as the 2nd of September and on 11 September FMOH/WHO/UNICEF conducted the first joint health and WASH cluster meeting on cholera response in Blue Nile. 11-17 Oct, OCV campaign.",
63,Syria,2015,"Syria, 2015",EMRO,"ACU EWARN report, 2015","ACU EWARN sitrep (W42, 2015)",,,,New,"Aleppo Governorate, Eastern Rural",Rural,Armed conflict,Formal alert,Alert,1,EWARN notified. A 5y child was reported through EWARN with AWD; admitted to hospital; RDT+ and died before stool sample could be taken. Field investigation done to assess symptoms among family members (none). Confirmation cannot be done.,2,2,0,2,0,,,,10/18/2015,10/20/2015,,20-Oct-15,"1_NR (exact date, EWARN)",10/18/2015,10/20/2015,20-Oct-15,,20-Oct-15,,Investigation of HH only (due to insecurity),
64,Syria,2017,"Syria, 2017",EMRO,"ACU EWARN sitrep (W42, 2017)",ProMed report (AR: smartnews-agency.com/),,,,False alert,"Zogra camp, near Jarabulus City, Aleppo",Camp,Armed conflict,Formal alert,Alert,1,"EWARN notified. Alert of a suspected case of 4m with severe diarrhea and dehydration from Zogra camp, Jarablus district in Aleppo on 20 Oct 2017. Responded to IV and ORS and discharged after 2 days. Ruled out as investigation did not show that case fit with case definition for cholera.",5,5,0,5,0,,,,,10/20/2017,,20-Oct-17,"1_NR (exact date, EWARN)",10/15/2017,20-Oct-17,NR,,20-Oct-17,,Investigation of case only,
65,Tanzania,2015,"Tanzania, 2015",AFRO,"UNHCR update, 19 May 2015","UNHCR update, 15 May 2015",,,,New,"Among refugees, Kigoma on Lake Tanganyika, in the nearby villages of Kagunga and Nyarugusu",Camp,Refugee setting,Formal alert,Alert,1,"Two adult females died in Kagunga on 13 May. They reportedly had symptoms of diarrhea and vomiting. Because of poor communication between Kagunga and Kigoma, verbal autopsy could not be done from Kigoma by the UNHCR Health Officer. Based on the above, the acute diarrhea threat has been scaled up to ‘suspected cholera’,
although the rectal swabs that had been submitted to the lab had so far been tested negative for vibrio cholera",5,5,0,5,0,8,3,,,,,8/15/2015,1_NR (exact date of single suspect case reported),8/10/2015,8/15/2015,8/25/2015,,8/15/2015,8/18/2015,"Musa Naty, the Kinondoni municipal director, confirmed that 4 patients were diagnosed with cholera after samples of their stools tested positive for the bacterial infection.""They will be transferred to a special treatment camp located in Mburahati ward,"" said Naty. He said public health authorities have embarked on preventive measures to contain the potentially deadly waterborne disease. Naty said that a team of health workers had started fumigating some of the hotspot areas in Kinondoni municipal.""We want to ensure that we control the epidemic before it spreads further. We are treating the patients [who have] symptoms of the disease but the aim is to prevent it,"" he said.",
66,Tanzania,2015,"Tanzania, 2015",AFRO,"MMWR (Narra et al, 2017)",WHO DON 1,DREF report,,,New,Dar es Salaam (Kinondoni district),Urban,Other,Formal alert,Alert,1,"On August 15, 2015, the Tanzanian Ministry of Health, Community Development, Gender, Elderly and Children (MOHCDGEC) was notified about a case of acute watery diarrhea with severe dehydration in a patient in Dar es Salaam. Four family members were suspected cases and 1 person died. By Nov 26, 5104 cases reported in Dar es Salaam.",5,5,0,7,2,9,4,11,,5/13/2015,,5/13/2015,1_NR (exact date of deaths of 2 females),5/8/2015,5/13/2015,5/19/2015,5/19/2015,5/15/2015,5/17/2015,"There is ongoing environmental sanitation, hygiene, and health education in Nyarugusu focusing on cholera prevention. Active case surveillance is underway to ensure early detection of patients, which is crucial.UNHCR is sending cholera treatment supplies enough to treat 200 persons by the UNHCR aircraft on 18 May.",
67,Uganda,2008,"Uganda, 2008",AFRO,"Bwire et al, 2015",,,,,New,"BNMRH hospital, Kampala",Urban,Other,Formal alert,Alert,1,Cluster of patients in same ward developing profuse water diarrhea with vomiting and dying quickly. Hospital team suspected cholera.,1,2,1,2,1,3,2,,10/18/2008,10/19/2008,,10/20/2008,1_HF (exact date submitted stool samples),10/18/2008,10/19/2008,10/21/2008,,10/20/2008,10/21/2008,Opened CTC,
68,Uganda,2015,"Uganda, 2015",AFRO,"Kwesiga et al, 2018",,,,,New,"Bwere sub-county, Kasese District",Rural,Other,Formal alert,Alert,1,"On 14 March 2015, the Kasese District Health Officer notified MoH of a cholera outbreak. The first reported case-person, a 12-year-old boy, had symptom onset on
14 March 2015. On 15 March 2015, he tested positive for Vibrio Cholerae using the Crystal VC® dipstick rapid test. This case was later culture-confirmed to be Vibrio
Cholerae O1, biotype El Tor, serotype Inaba. He had crossed DRC border and with potential exposure to cholera outbreak.",22,22,0,84,62,84,62,23,2/20/2015,3/14/2015,,3/14/2015,1_PHO (exact date),2/20/2015,3/14/2015,NR,3/15/2015,5/15/2015,5/15/2015,Late response in May.,
69,Uganda,2015,"Uganda, 2015",AFRO,"Pande et al, 2018",,,,,New,"Katwe village, Kasese District",Rural,Other,Formal alert,Alert,1,"On 20 June 2015, a cholera outbreak, with more than 30 reported cases including 19 positive by a rapid diagnostic test (RDT) and eight culture-confirmed, occurred in Katwe Village, a fishing village in Kasese District, south-western Uganda. The primary case-person was a fisherman. During an in-depth interview, he described that he developed diarrhoea on 16 June while fishing on Lake Edward. Subsequently he returned to the shore during the early hours on 17 June, and reportedly defecated ªnearº water-collection site X. He received treatment at Bwera Hospital (the regional referral hospital) on 17 June, where he was laboratory-confirmed to have cholera.",1,4,3,6,5,6,5,1,6/16/2015,6/17/2015,,6/20/2015,1_NR (exact date reported),6/16/2015,6/17/2015,6/20/2015,6/17/2015,6/22/2015,6/22/2015,"During the outbreak investigation, we recommended to the village administrators to provide water chlorination tablets to the villagers, issue water-boiling advisory to the villagers, and rigorously disinfect all patients' faeces. With the assistance of the investigation team, the village administrators implemented all of these recommendations.",
70,Uganda,2018,"Uganda, 2018",AFRO,"WHO OEB (W8, 2018)",,,,,New,"Kyangwali refugee settlements, Hoima district",Camp,Refugee setting,Informal alert,Alert,1,"(Cluster) The outbreak started on 15 February 2018 when the index case, a 60-year-old man from Sebigoro Landing Site, developed acute watery diarrhoea and vomiting. On the same day (15 February 2018), two children – one from a refugee reception centre and the other from a new refugee settlement – died of acute watery diarrhoea and severe dehydration.",0,0,0,,,6,6,4,2/15/2018,2/15/2018,,2/15/2018,1_NR (exact date when cases appeared and stool sent),2/15/2018,2/15/2018,NR,2/19/2018,,2/21/2018,"Outbreak response coordination structures have been established,
with the first meeting held on 21 February 2018",
71,Yemen,2010,"Yemen, 2010",EMRO,"EMRO WEM (3, 27, 2010)",,,,,New,"Alshat and Ras Alara districts, Lahj Governorate",Urban,Armed conflict,Not reported,,,"The outbreak started on 29 June 2010 and as of 2 July , a total of 300 suspected cases including 4 deaths (CFR: 1.3%) have been reported.",5,5,0,,,10,5,,,,,6/29/2010,4_NR (outbreak start date),6/24/2010,6/29/2010,7/4/2010,,,7/4/2010,"The MOPH&P has initiated control measures that include case management, chlorination of affected wells and otherdomestic water sources and as a result,  the number of cases are coming down in recent days (no date given, so used date of publication of report)",
72,Yemen,2011,"Yemen, 2011",EMRO,"EMRO WEM (4, 42, 2011)","WHO report, June 2011","Qasem et al, 2013",,,New,"Al-Razi hospital, Shokra Hospital, Abyan Governorate",Urban,Armed conflict,Formal data analysis,Data analysis,0,"During armed conflict, on April , 2011 surveillance system detected an increase in diarrheal cases in Abyen governorate during an armed conflict. A total of 343 suspected cases occurred between April and May 2011. Index case was male- 14 year old in Jaar city.",5,5,0,60,55,70,65,,,,,4/7/2011,3_NR (outbreak start date),4/2/2011,4/7/2011,6/1/2011,,6/1/2011,6/11/2011,"WHO supported CM, WASH, surveillance, supply chain, etc.",
73,Yemen,2016,"Yemen, 2016",EMRO,"UNICEF Evaluation, 2018","Dureab et al, 2019","WHO-MOH release, 2016",,,New,Sana'a (Al-Nasr neighbourhood of the Sho'ob district),Urban,Armed conflict,Formal alert,Alert,1,"The supervisor of the Department of Epidemiological Isolation at the Al Sabain Hospital in Sana'a, where patients have been treated, told Efe [news agency] that among them there are 8 people from the same family suffering from acute diarrhea, vomiting, and fatigue. Yuber Sadiq said that these are the 1st cases that have reached the hospital, where they are surprised by the appearance of cholera, which spreads very fast through water and vegetables. [news source]. Yemen’s MOPHP announced 8 confirmed cases; admitted to Al-Sabeen Hospital in Sana'a in the first week of October (MOH release); On October 1 (Week 39), Alsheria district in Al Beyda Governorate begins to report clustering of cases of AWD in three villages (Algenabe, Leruood and Alkesha). An investigation team sent to the district reveals 76 suspected cases since 27 September, including two deaths from a probable common source exposure. Three cases out of six are iologically confirmed positive for cholera by the Central National Public Health Laboratory a few days later.",5,5,0,6,1,14,9,8,,10/1/2016,,10/1/2016,1_PHO (exact date),9/26/2016,10/1/2016,10/7/2016,10/4/2016,10/2/2016,10/10/2016,"A team from surveillance programme of the Ministry was dispatched with a WHO-supported rapid response team to Al-Nasr neighbourhood of the Sho'ob district, where the patients (mainly children) were living, to investigate the source of cholera cases, test the water sources in the area and raise awareness about cholera among the community. Visits were also paid to the nearby schools and health centres to conduct an active case finding for suspected cases in the area (MOH release); A Joint Health/WASH Cholera Task Force comprising UNICEF, WHO as well as health and WASH partners, is established. It develops an Integrated Cholera Response Plan (UNICEF evaluation)",
74,Zambia,2017,"Zambia, 2017",AFRO,"MMWR, 2018 (Sinyange)","WHO DON, 11 Oct 2017","MOH release, 24 May 2018","WHO OEB (W41, 2017)",,New,"Chipata sub-district, Lusaka, and spreading to Kanyama sub-district around Oct 9, 2017",Urban,Other,Not reported,,,Two patients had presented at an urban clinic with symptoms.,6,8,2,,,17,11,8,9/28/2017,10/4/2017,10/6/2017,10/6/2017,"1_MOH (exact date, declaration, shortly after presentation)",9/28/2017,10/4/2017,10/4/2017,10/6/2017,,10/15/2017,"In October 2017, MoH activated a national emergency operations center. Water tanks installed on Dec 30.",
75,Zambia,2019,"Zambia, 2019",AFRO,"MOH sitrep 13, 15 Mar 2019",,,,,New,"Nsumbu, Nsama District, Northern Province",Rural,Other,Not reported,,,"On 15th March 2019, a 9 year old girl was brought to Nsumbu Rural Health Centre presenting with acute watery diarrhea and vomiting. This nurse on duty suspected therefore admitting in an isolated area, the patient. Unfortunately, the patients left without health facility consent aided by his mother to seek attention from a local traditional healer. The traditional healer noting the condition referred them back to the health facility. The patent died in transit. . The following day, on 16th March 2019, three (3) cases from the same household to the deceased and six (6) other cases (2 from the neighboring village to the deceased while 4 came from a village 4km away but had attended the funeral) came to the clinic presenting with watery diarrhea and vomiting. 10 cases admitted to isolation, 2 tested positive by RDT and all by culture.",0,0,0,0,0,0,0,1,3/15/2019,3/15/2019,3/16/2019,3/15/2019,"4_HF (exact date, isolated on this date)",3/15/2019,3/15/2019,3/15/2019,3/16/2019,3/15/2019,3/15/2019,"Clinic was already isolated patients from detection at DOS / DOP. Following initial detection, various small outbreaks with patients turning up at health facilities were reported (and contained).",
76,Zambia,2019,"Zambia, 2019",AFRO,"WHO OEB (W22, 2019)",,,,,New,"Mpulungu District, Northern Province",Urban,Other,Not reported,,,"the first case – a three-year-old girl – presenting with acute watery diarrhoea, vomiting and dehydration to the local health facility in Kapembwa on 3 April 2019. Condition deteriorated rapidly and cholera was suspected. Isolated patient in ward and alerted DHO and RDT. Lab testing positive more than a month later (13 May)",5,5,0,5,0,,,45,,4/3/2019,,4/3/2019,"4_HF (exact date, by positive RDT)",3/29/2019,4/3/2019,5/14/2019,5/13/2019,4/3/2019,,NR,
77,Zimbabwe,2008,"Zimbabwe, 2008",AFRO,"WHO detailed epi bulletin, 2008","WHO detailed epi bulletin 2, 2008",MSF update,,,New,"St Mary's and Zengeza sections of Chitungwiza city, Harare Province",Urban,Fragile situation,Not reported,,,NR,3,3,0,,,15,12,,8/17/2008,8/20/2008,,8/20/2008,4_NR (date outbreak started),8/17/2008,8/20/2008,12/3/2008,,,9/1/2008,"""The outbreak was well-managed"" (WHO epi bulletin);  In response, the Ministry of Health in collaboration with MSF has set up two Cholera Treatment Centres (CTCs). One is in Chitungwiza Central Hospital, with the other located closer to the affected community as a more decentralized approach is taken (MSF report published Sept 17, 2008)",
78,Zimbabwe,2018,"Zimbabwe, 2018",AFRO,"UNICEF outbreak report, 2018","WHO DON, 24 Sept 2018","WHO OEB (W36, 2018)",,,New,Harare,Urban,Fragile situation,Formal alert,Alert,1,"Twenty-five patients were admitted to a hospital in Harare presenting with diarrhoea and vomiting on 5 September. The first case, a 25-year-old woman, presented to a hospital and died on 5 September.",4,4,0,4,0,5,1,5,9/1/2018,9/5/2018,,9/5/2018,"1_MOH (exact date, declaration, shortly after presentation, RDT+)",9/1/2018,9/5/2018,9/6/2018,9/6/2018,9/5/2018,9/6/2018,,
79,Zimbabwe,2018,"Zimbabwe, 2018",AFRO,"WHO OEB (W4, 2018)","McAteer et al, 2018","Chimusoro et al, 2018",,,New,"Chegutu municipality, Mashonland West Province",Urban,Fragile situation,Formal alert,Alert,1,"On January 16, 2018, the Zimbabwe Ministry of Health and Child Care (MoHCC) was notified of five adults with watery diarrhea and severe dehydration who were admitted to Chegutu District Hospital, Mashonaland West Province. Three of the five patients died within hours of admission. On the 16th of January 2018, a report was made to the Chegutu District Medical Office of an increase in diarrhea cases at Chegutu Hospital in a male ward in which two cases had died. A follow up visit was made to the male ward and revealed that there were three male cases presenting with watery diarrhea and vomitingThe index case, reported on 8 January 2018, was an 80 year-old female who sought treatment at a private clinic for hypertension, diabetes, and watery diarrhoea. Cholera was not immediately suspected and the patient subsequently died at home. her funeral was associated with trasmission to cluster of cases.",5,13,8,16,11,16,11,16,,1/8/2018,,1/16/2018,1_HF (exact date),1/3/2018,1/8/2018,1/19/2018,1/19/2018,1/19/2018,1/19/2018,RRT,
